Chapter,Unit,Difficulty,Question,Option_1,Option_2,Option_3,Option_4,Correct_Option
Physics,Unit 5,Nuclear Physics,"easy, What is radioactive decay?",The process by which an unstable atomic nucleus loses energy by radiation,The process by which a nucleus gains energy by absorbing radiation,The process by which a nucleus fuses with another nucleus,The process by which a nucleus splits into two smaller nuclei,Option 1
Physics,Unit 5,Nuclear Physics,"medium, What is the difference between nuclear fission and nuclear fusion?","Nuclear fission is the splitting of a large atomic nucleus into smaller particles, while nuclear fusion is the coming together of two light atomic nuclei to form a heavier nucleus","Nuclear fission is the coming together of two light atomic nuclei to form a heavier nucleus, while nuclear fusion is the splitting of a large atomic nucleus into smaller particles",Nuclear fission releases more energy than nuclear fusion,Nuclear fusion releases more energy than nuclear fission,Option 1
Physics,Unit 5,Nuclear Physics,"medium, What is the principle behind nuclear reactors?","Nuclear fission reactions provide the energy to heat water, creating steam to drive turbines and generate electricity","Nuclear fusion reactions provide the energy to heat water, creating steam to drive turbines and generate electricity","Chemical reactions provide the energy to heat water, creating steam to drive turbines and generate electricity","Solar energy provides the energy to heat water, creating steam to drive turbines and generate electricity",Option 1
Physics,Unit 5,Nuclear Physics,"hard, What is mass defect?",The difference between the mass of a nucleus and the sum of the masses of its individual protons and neutrons,The mass of a nucleus,The mass of an atom,"The difference between the mass of an atom and the sum of the masses of its individual electrons, protons, and neutrons",Option 1
Physics,Unit 5,Nuclear Physics,"hard, What is the principle of conservation of charge?",The total charge in an isolated system remains constant,Charge can be created or destroyed,The charge of a system is always positive,The charge of a system is always negative,Option 1
Physics,Unit 6,Space Physics,"medium, What is the formula for the escape velocity from the surface of a planet?",ve = sqrt(2GM/R),ve = GM/R,ve = sqrt(GM/R),ve = 2GM/R,Option 1
Physics,Unit 6,Space Physics,"medium, What is the formula for the escape velocity from the surface of a planet?",ve = sqrt(2GM/R),ve = GM/R,ve = sqrt(GM/R),ve = 2GM/R,Option 1
Physics,Unit 6,Space Physics,"hard, What is the concept of spacetime curvature in General Relativity?",Massive objects curve the spacetime around them,Time flows backwards in curved spacetime,Spacetime is flat in the presence of mass,Curved spacetime is an illusion,Option 1
Physics,Unit 6,Space Physics,"hard, What is the Schwarzschild radius?",The radius below which a mass becomes a black hole,The radius of the event horizon,The radius of the accretion disk around a black hole,The maximum radius of a stable orbit around a black hole,Option 1
Chemistry,Unit 1,The particulate nature of matter,"easy, What is the basic building block of matter?",Atom,Molecule,Electron,Compound,Option 1
Chemistry,Unit 1,The particulate nature of matter,"easy, Which state of matter has a definite shape and volume?",Solid,Liquid,Gas,Plasma,Option 1
Chemistry,Unit 1,The particulate nature of matter,"medium, What is the process of a solid turning into a liquid called?",Melting,Freezing,Vaporization,Condensation,Option 1
Chemistry,Unit 1,The particulate nature of matter,"medium, Which of the following is a characteristic of a gas?",Definite volume,Indefinite shape,Definite shape,Indefinite volume,Option 2
Chemistry,Unit 1,The particulate nature of matter,"hard, Which principle states that matter can neither be created nor destroyed?",Law of Conservation of Mass,Law of Definite Proportions,Law of Multiple Proportions,Avogadro's Hypothesis,Option 1
Chemistry,Unit 1,The particulate nature of matter,"hard, What is the name of the region where electrons are likely to be found in an atom?",Nucleus,Electron cloud,Orbital,Shell,Option 3
Chemistry,Unit 2,Experimental Techniques,"easy, What is the process of separating a solid from a liquid called?",Filtration,Distillation,Chromatography,Sublimation,Option 1
Chemistry,Unit 2,Experimental Techniques,"easy, Which technique is used to separate mixtures based on their boiling points?",Distillation,Filtration,Chromatography,Crystallization,Option 1
Chemistry,Unit 2,Experimental Techniques,"medium, In which process is a solute separated from a solution by crystallizing out?",Crystallization,Distillation,Filtration,Chromatography,Option 1
Chemistry,Unit 2,Experimental Techniques,"medium, Which of the following is a method to determine the concentration of a solution?",Titration,Filtration,Distillation,Sublimation,Option 1
Chemistry,Unit 2,Experimental Techniques,"hard, What is the process of separating substances based on their molecular sizes and shapes called?",Chromatography,Filtration,Distillation,Titration,Option 1
Chemistry,Unit 2,Experimental Techniques,"hard, What is the process of measuring the volume of gas evolved in a reaction called?",Gas collection,Titration,Filtration,Distillation,Option 1
Chemistry,Unit 3,Atoms,"elements and compounds, easy, What is the smallest unit of an element that retains the properties of that element?",Atom,Molecule,Compound,Ion,Option 1
Chemistry,Unit 3,Atoms,"elements and compounds, easy, What is a substance made up of two or more different types of atoms chemically bonded together?",Compound,Mixture,Element,Solution,Option 1
Chemistry,Unit 3,Atoms,"elements and compounds, medium, What is the charge of a proton?",+1,-1,0,+2,Option 1
Chemistry,Unit 3,Atoms,"elements and compounds, medium, Which subatomic particle has no charge?",Neutron,Proton,Electron,Ion,Option 1
Chemistry,Unit 3,Atoms,"elements and compounds, hard, What is the name of the vertical columns in the periodic table?",Groups,Periods,Blocks,Families,Option 1
Chemistry,Unit 3,Atoms,"elements and compounds, hard, What is the atomic number of an element?",The number of protons in the nucleus,The number of neutrons in the nucleus,The number of electrons in the shell,The total number of protons and neutrons in the nucleus,Option 1
Chemistry,Unit 4,Stoichiometry,"easy, What is the molar mass of water?",18 g/mol,16 g/mol,20 g/mol,22 g/mol,Option 1
Chemistry,Unit 4,Stoichiometry,"easy, What is the balanced equation for the combustion of methane?",CH4 + 2O2 -> CO2 + 2H2O,CH4 + O2 -> CO2 + H2O,CH4 + 3O2 -> CO2 + 2H2O,CH4 + O2 -> CO + H2O,Option 1
Chemistry,Unit 4,Stoichiometry,"medium, How many moles of oxygen are required to react with 2 moles of hydrogen to form water?",1 mole,2 moles,3 moles,4 moles,Option 1
Chemistry,Unit 4,Stoichiometry,"medium, What is the percentage composition of oxygen in water?",88.8%,11.2%,50%,25%,Option 1
Chemistry,Unit 4,Stoichiometry,"hard, What is the law of conservation of mass?",Mass cannot be created or destroyed in a chemical reaction,Mass is always conserved in a chemical reaction,Mass can be created or destroyed in a chemical reaction,Mass is always created in a chemical reaction,Option 1
Chemistry,Unit 4,Stoichiometry,"hard, What is the name of the law that states that a given compound always contains exactly the same proportion of elements by mass?",Law of Definite Proportions,Law of Conservation of Mass,Law of Multiple Proportions,Avogadro's Law,Option 1
Chemistry,Unit 5,Electricity and Chemistry,"easy, What is the process of using electricity to drive a non-spontaneous reaction called?",Electrolysis,Electroplating,Electrorefining,Galvanization,Option 1
Chemistry,Unit 5,Electricity and Chemistry,"easy, What is the device used to measure electric current called?",Ammeter,Voltmeter,Ohmmeter,Galvanometer,Option 1
Chemistry,Unit 5,Electricity and Chemistry,"medium, What is the term for the loss of electrons in a chemical reaction?",Oxidation,Reduction,Electrolysis,Electroplating,Option 1
Chemistry,Unit 5,Electricity and Chemistry,"medium, What is a half-cell in electrochemistry?",A structure that contains a conductive electrode and a surrounding conductive electrolyte separated by a naturally occurring Helmholtz double layer,A full cell divided in half,A cell with half the voltage of a full cell,A cell with half the electrolyte of a full cell,Option 1
Chemistry,Unit 5,Electricity and Chemistry,"hard, What is the standard electrode potential?",The measure of the potential of a reversible cell when all reactants and products are at their standard states,The measure of the potential of an irreversible cell when all reactants and products are at their standard states,The measure of the potential of a reversible cell when all reactants and products are at non-standard states,The measure of the potential of an irreversible cell when all reactants and products are at non-standard states,Option 1
Chemistry,Unit 5,Electricity and Chemistry,"hard, What is Faraday's Law of Electrolysis?",The amount of substance produced at an electrode during electrolysis is directly proportional to the number of moles of electrons transferred at that electrode,The amount of substance produced at an electrode during electrolysis is inversely proportional to the number of moles of electrons transferred at that electrode,The amount of substance produced at an electrode during electrolysis is directly proportional to the voltage applied across the cell,The amount of substance produced at an electrode during electrolysis is inversely proportional to the voltage applied across the cell,Option 1
Chemistry,Unit 6,Chemical energetics,"easy, What is the term for the amount of energy needed to raise the temperature of 1 gram of water by 1 degree Celsius?",Calorie,Joule,Watt,Kelvin,Option 1
Chemistry,Unit 6,Chemical energetics,"easy, What is the law of conservation of energy?","Energy cannot be created or destroyed, only transferred or converted from one form to another",Energy can be created and destroyed,Energy is always lost as heat in a reaction,Energy is always conserved in a reaction,Option 1
Chemistry,Unit 6,Chemical energetics,"medium, What is the term for the amount of energy released or absorbed during a chemical reaction?",Enthalpy change,Entropy change,Heat capacity,Activation energy,Option 1
Chemistry,Unit 6,Chemical energetics,"medium, What is the energy required to initiate a reaction called?",Activation energy,Reaction energy,Enthalpy,Gibbs free energy,Option 1
Chemistry,Unit 6,Chemical energetics,"hard, What is the formula for calculating the change in Gibbs free energy?",ΔG = ΔH - TΔS,ΔG = ΔH + TΔS,ΔG = TΔS - ΔH,ΔG = TΔS + ΔH,Option 1
Chemistry,Unit 6,Chemical energetics,"hard, What is the term for a reaction where energy is released?",Exothermic,Endothermic,Isotonic,Hypertonic,Option 1
Chemistry,Unit 7,Reaction kinetics,"easy, What is the term for the speed at which a reaction occurs?",Reaction rate,Reaction time,Reaction speed,Reaction path,Option 1
Chemistry,Unit 7,Reaction kinetics,"easy, What is the term for a substance that speeds up a reaction without being consumed?",Catalyst,Reactant,Product,Inhibitor,Option 1
Chemistry,Unit 7,Reaction kinetics,"medium, What is the term for the highest point on the reaction coordinate diagram?",Transition state,Activation energy,Reaction intermediate,Reaction endpoint,Option 1
Chemistry,Unit 7,Reaction kinetics,"medium, What is the term for a substance that slows down a reaction?",Inhibitor,Catalyst,Reactant,Product,Option 1
Chemistry,Unit 7,Reaction kinetics,"hard, What is the formula for the rate law of a reaction?",Rate = k[A]^m[B]^n,Rate = k[A][B],Rate = k[A] + k[B],Rate = k[A] - k[B],Option 1
Chemistry,Unit 7,Reaction kinetics,"hard, What is the effect of increasing the temperature on the rate of a reaction?",Increases the rate of reaction,Decreases the rate of reaction,No effect on the rate of reaction,Changes the products of the reaction,Option 1
Biology,Unit 1,Characteristics and classification of living organisms,"easy, What is the basic unit of life?",Cell,Atom,Molecule,Organ,Option 1
Biology,Unit 1,Characteristics and classification of living organisms,"easy, What are the three domains of life?","Bacteria, Archaea, Eukarya","Animals, Plants, Fungi","Monera, Protista, Fungi","Prokaryotes, Eukaryotes, Viruses",Option 1
Biology,Unit 1,Characteristics and classification of living organisms,"medium, What is the difference between prokaryotic and eukaryotic cells?","Prokaryotic cells lack a nucleus and membrane-bound organelles, while eukaryotic cells have a nucleus and membrane-bound organelles","Prokaryotic cells have a nucleus, while eukaryotic cells do not",Prokaryotic cells are larger than eukaryotic cells,Eukaryotic cells reproduce by binary fission,Option 1
Biology,Unit 1,Characteristics and classification of living organisms,"medium, What is the hierarchy of biological classification from domain to species?","Domain, Kingdom, Phylum, Class, Order, Family, Genus, Species","Kingdom, Domain, Phylum, Class, Order, Family, Genus, Species","Domain, Phylum, Kingdom, Class, Order, Family, Genus, Species","Kingdom, Phylum, Class, Order, Family, Genus, Species, Domain",Option 1
Biology,Unit 1,Characteristics and classification of living organisms,"hard, What is binomial nomenclature and who introduced it?","A system of naming species using two names, genus and species, introduced by Carl Linnaeus","A system of naming species using two names, family and species, introduced by Charles Darwin","A system of naming species using one name, introduced by Carl Linnaeus","A system of naming species using three names, introduced by Charles Darwin",Option 1
Biology,Unit 1,Characteristics and classification of living organisms,"hard, What are the five kingdoms of life?","Monera, Protista, Fungi, Plantae, Animalia","Bacteria, Archaea, Protista, Plantae, Animalia","Monera, Protista, Plantae, Animalia, Fungi","Protista, Fungi, Plantae, Animalia, Viruses",Option 1
Biology,Unit 2,Organization of the organism,"easy, What is the term for a group of cells with a similar structure and function?",Tissue,Organ,System,Organism,Option 1
Biology,Unit 2,Organization of the organism,"easy, What is the term for a group of tissues working together to perform a specific function?",Organ,System,Organism,Cell,Option 1
Biology,Unit 2,Organization of the organism,"medium, What are the three types of muscle tissue?","Skeletal, Cardiac, Smooth","Bone, Cardiac, Smooth","Skeletal, Cardiac, Nervous","Skeletal, Smooth, Epithelial",Option 1
Biology,Unit 2,Organization of the organism,"medium, What is the function of the nervous tissue?",Transmitting electrical signals for communication,Providing support and structure,Contracting to produce movement,Covering body surfaces and lining body cavities,Option 1
Biology,Unit 2,Organization of the organism,"hard, What is homeostasis and why is it important?","The maintenance of a stable internal environment, crucial for the survival and functioning of the organism",The ability to adapt to changes in the external environment,The ability to reproduce and pass on genetic information,The ability to respond to stimuli,Option 1
Biology,Unit 2,Organization of the organism,"hard, What is the function of the lymphatic system?","Draining excess fluid from tissues, transporting white blood cells, and aiding in immunity",Circulating blood and delivering nutrients,Digesting food and absorbing nutrients,Excreting waste products,Option 1
Biology,Unit 3,Movement in and out of cells,"easy, What is osmosis?",The movement of water molecules from an area of lower solute concentration to an area of higher solute concentration through a selectively permeable membrane,The movement of solute molecules from an area of higher concentration to an area of lower concentration,The movement of water molecules from an area of higher concentration to an area of lower concentration,The movement of solute molecules from an area of lower concentration to an area of higher concentration,Option 1
Biology,Unit 3,Movement in and out of cells,"easy, What is diffusion?",The movement of molecules from an area of higher concentration to an area of lower concentration,The movement of water molecules across a selectively permeable membrane,The movement of molecules from an area of lower concentration to an area of higher concentration,The movement of molecules against a concentration gradient,Option 1
Biology,Unit 3,Movement in and out of cells,"medium, What is active transport?","The movement of molecules against a concentration gradient, requiring energy",The movement of molecules down a concentration gradient,The movement of water molecules across a membrane,The movement of molecules without the use of energy,Option 1
Biology,Unit 3,Movement in and out of cells,"medium, What is the term for the uptake of large particles or cells by surrounding and engulfing them?",Phagocytosis,Pinocytosis,Exocytosis,Endocytosis,Option 1
Biology,Unit 3,Movement in and out of cells,"hard, What is the sodium-potassium pump and why is it important?","A protein that actively transports sodium ions out and potassium ions into the cell, crucial for maintaining membrane potential and cell function",A protein that passively transports sodium and potassium ions,A pump that moves water in and out of the cell,A protein that actively transports potassium ions out and sodium ions into the cell,Option 1
Biology,Unit 3,Movement in and out of cells,"hard, What is the difference between endocytosis and exocytosis?","Endocytosis is the uptake of material into the cell by invagination of the cell membrane, while exocytosis is the release of material from the cell by fusion of a vesicle with the cell membrane","Endocytosis is the release of material from the cell, while exocytosis is the uptake of material into the cell","Endocytosis requires energy, while exocytosis does not",Endocytosis and exocytosis are the same process,Option 1
Biology,Unit 4,Biological molecules,"easy, What is the basic unit of a carbohydrate?",Monosaccharide,Amino acid,Nucleotide,Fatty acid,Option 1
Biology,Unit 4,Biological molecules,"easy, What is the main function of lipids in the body?",Energy storage,Speeding up chemical reactions,Transmitting genetic information,Providing structural support,Option 1
Biology,Unit 4,Biological molecules,"medium, What is the term for a molecule that speeds up a chemical reaction without being consumed?",Catalyst,Reactant,Product,Enzyme,Option 1
Biology,Unit 4,Biological molecules,"medium, What is the function of nucleic acids?",Storing and transmitting genetic information,Providing energy,Speeding up chemical reactions,Providing structural support,Option 1
Biology,Unit 4,Biological molecules,"hard, What is the primary structure of a protein?",The sequence of amino acids in a polypeptide chain,The folding of a polypeptide chain into a 3D shape,The arrangement of multiple polypeptide chains,The addition of functional groups to a polypeptide chain,Option 1
Biology,Unit 4,Biological molecules,"hard, What is the difference between DNA and RNA?","DNA is double-stranded and contains deoxyribose sugar, while RNA is single-stranded and contains ribose sugar","DNA is single-stranded and contains ribose sugar, while RNA is double-stranded and contains deoxyribose sugar","DNA contains uracil, while RNA contains thymine","DNA is found in the cytoplasm, while RNA is found in the nucleus",Option 1
Biology,Unit 5,Enzymes,"easy, What is an enzyme?",A biological catalyst that speeds up chemical reactions in living organisms,A type of carbohydrate,A type of lipid,A type of nucleic acid,Option 1
Biology,Unit 5,Enzymes,"easy, What part of the enzyme binds to the substrate?",Active site,Allosteric site,Binding site,Catalytic site,Option 1
Biology,Unit 5,Enzymes,"medium, What factors can affect enzyme activity?","Temperature, pH, and substrate concentration","Color, shape, and size","Mass, volume, and density","Speed, velocity, and acceleration",Option 1
Biology,Unit 5,Enzymes,"medium, What is enzyme inhibition?",A process where a molecule binds to an enzyme and decreases its activity,A process where a molecule binds to an enzyme and increases its activity,A process where an enzyme breaks down a molecule,A process where an enzyme builds up a molecule,Option 1
Biology,Unit 5,Enzymes,"hard, What is the difference between competitive and non-competitive inhibition?","Competitive inhibition occurs when a molecule similar to the substrate binds to the active site, while non-competitive inhibition occurs when a molecule binds to an allosteric site, changing the enzyme's shape","Competitive inhibition occurs when a molecule binds to an allosteric site, while non-competitive inhibition occurs when a molecule similar to the substrate binds to the active site","Competitive inhibition increases enzyme activity, while non-competitive inhibition decreases enzyme activity","Competitive inhibition decreases enzyme activity, while non-competitive inhibition increases enzyme activity",Option 1
Biology,Unit 6,Plant nutrition,"easy, What is photosynthesis?",The process by which green plants and some other organisms use sunlight to synthesize foods with the help of chlorophyll pigments,The process by which plants break down food to produce energy,The process by which plants consume nutrients from the soil,The process by which plants absorb water,Option 1
Biology,Unit 6,Plant nutrition,"easy, What are the main raw materials for photosynthesis?",Carbon dioxide and water,Oxygen and glucose,Nitrogen and phosphorus,Vitamins and minerals,Option 1
Biology,Unit 6,Plant nutrition,"medium, What is the main pigment involved in photosynthesis?",Chlorophyll,Carotene,Xanthophyll,Anthocyanin,Option 1
Biology,Unit 6,Plant nutrition,"medium, What are micronutrients and why are they important for plants?",Micronutrients are essential elements required by plants in small amounts for growth and development,Micronutrients are the main nutrients required by plants,Micronutrients are organic compounds required by plants,Micronutrients are nutrients required by animals but not plants,Option 1
Biology,Unit 6,Plant nutrition,"hard, What is the difference between the light-dependent and light-independent reactions in photosynthesis?","Light-dependent reactions occur in the thylakoid membranes and produce ATP and NADPH, while light-independent reactions occur in the stroma and use ATP and NADPH to fix carbon dioxide and produce glucose","Light-dependent reactions occur in the stroma and produce glucose, while light-independent reactions occur in the thylakoid membranes and produce ATP and NADPH","Light-dependent reactions use carbon dioxide to produce glucose, while light-independent reactions use sunlight to produce ATP and NADPH","Light-dependent reactions use ATP and NADPH to fix carbon dioxide and produce glucose, while light-independent reactions produce ATP and NADPH",Option 1
Biology,Unit 7,Human nutrition,"easy, What is the main function of carbohydrates in the human diet?",Providing energy,Building and repairing tissues,Regulating body processes,Providing insulation,Option 1
Biology,Unit 7,Human nutrition,"easy, What is the function of dietary fiber?",Aiding in digestion and preventing constipation,Providing energy,Building and repairing tissues,Regulating body processes,Option 1
Biology,Unit 7,Human nutrition,"medium, What are the essential amino acids and why are they important?","Amino acids that cannot be synthesized by the body and must be obtained from the diet, essential for protein synthesis and overall growth and development",Amino acids that can be synthesized by the body,Amino acids that provide energy,Amino acids that help in digestion,Option 1
Biology,Unit 7,Human nutrition,"medium, What is the function of vitamins and minerals in the human diet?","Supporting overall growth and development, immune function, and metabolism",Providing energy,Building and repairing tissues,Aiding in digestion,Option 1
Biology,Unit 7,Human nutrition,"hard, What is the difference between saturated and unsaturated fats?","Saturated fats have no double bonds between the fatty acid molecules, while unsaturated fats have one or more double bonds","Saturated fats have one or more double bonds, while unsaturated fats have no double bonds","Saturated fats are liquid at room temperature, while unsaturated fats are solid","Saturated fats are healthy, while unsaturated fats are unhealthy",Option 1
Biology,Unit 8,Transport in plants,"easy, What is transpiration?","The process of water movement through a plant and its evaporation from aerial parts, especially from the leaves but also from stems and flowers",The process of water absorption by the roots,The process of water transportation through the xylem,The process of nutrient absorption by the leaves,Option 1
Biology,Unit 8,Transport in plants,"easy, What are the two main types of vascular tissue in plants?",Xylem and Phloem,Epidermis and Cortex,Mesophyll and Epidermis,Periderm and Mesophyll,Option 1
Biology,Unit 8,Transport in plants,"medium, What is the function of the xylem?",Transporting water and minerals from the roots to the rest of the plant,Transporting sugars and other nutrients from the leaves to the rest of the plant,Providing structural support to the plant,Aiding in photosynthesis,Option 1
Biology,Unit 8,Transport in plants,"medium, What is the function of the phloem?",Transporting sugars and other nutrients from the leaves to the rest of the plant,Transporting water and minerals from the roots to the rest of the plant,Providing structural support to the plant,Aiding in photosynthesis,Option 1
Biology,Unit 8,Transport in plants,"hard, What is the difference between apoplastic and symplastic pathways of water movement in plants?","Apoplastic pathway involves the movement of water through the cell walls and spaces between cells, while symplastic pathway involves the movement of water through the cytoplasm of cells","Apoplastic pathway involves the movement of water through the cytoplasm of cells, while symplastic pathway involves the movement of water through the cell walls and spaces between cells","Apoplastic pathway requires energy, while symplastic pathway does not","Apoplastic pathway does not require energy, while symplastic pathway does",Option 1
Biology,Unit 8,Transport in plants,"hard, What is guttation and how does it differ from transpiration?","Guttation is the exudation of drops of xylem sap on the tips or edges of leaves, typically occurring at night, while transpiration is the evaporation of water from plant surfaces, primarily from the stomata of leaves","Guttation is the evaporation of water from plant surfaces, while transpiration is the exudation of drops of xylem sap","Guttation occurs during the day, while transpiration occurs at night",Guttation and transpiration are the same process,Option 1
